,idx,des,new_des
0,1,black,black
1,2,white,white
2,3,blue,blue
3,4,brown,brown
4,5,gray,gray
5,6,orange,orange
6,7,red,red
7,8,yellow,yellow
8,9,patches,patches
9,10,spots,spots
10,11,stripes,stripes
11,12,furry,furry
12,13,hairless,hairless
13,14,toughskin,toughskin
14,15,big,big
15,16,small,small
16,17,bulbous,bulbous
17,18,lean,lean
18,19,flippers,flippers
19,20,hands,hands
20,21,hooves,hooves
21,22,pads,pads
22,23,paws,paws
23,24,longleg,longleg
24,25,longneck,longneck
25,26,tail,tail
26,27,chewteeth,chewteeth
27,28,meatteeth,meatteeth
28,29,buckteeth,buckteeth
29,30,strainteeth,strainteeth
30,31,horns,horns
31,32,claws,claws
32,33,tusks,tusks
33,34,smelly,smelly
34,35,flys,flys
35,36,hops,hops
36,37,swims,swims
37,38,tunnels,tunnels
38,39,walks,walks
39,40,fast,fast
40,41,slow,slow
41,42,strong,strong
42,43,weak,weak
43,44,muscle,muscle
44,45,bipedal,bipedal
45,46,quadrapedal,quadrapedal
46,47,active,active
47,48,inactive,inactive
48,49,nocturnal,nocturnal
49,50,hibernate,hibernate
50,51,agility,agility
51,52,fish,fish
52,53,meat,meat
53,54,plankton,plankton
54,55,vegetation,vegetation
55,56,insects,insects
56,57,forager,forager
57,58,grazer,grazer
58,59,hunter,hunter
59,60,scavenger,scavenger
60,61,skimmer,skimmer
61,62,stalker,stalker
62,63,newworld,newworld
63,64,oldworld,oldworld
64,65,arctic,arctic
65,66,coastal,coastal
66,67,desert,desert
67,68,bush,bush
68,69,plains,plains
69,70,forest,forest
70,71,fields,fields
71,72,jungle,jungle
72,73,mountains,mountains
73,74,ocean,ocean
74,75,ground,ground
75,76,water,water
76,77,tree,tree
77,78,cave,cave
78,79,fierce,fierce
79,80,timid,timid
80,81,smart,smart
81,82,group,group
82,83,solitary,solitary
83,84,nestspot,nestspot
84,85,domestic,domestic
