,idx,des,new_des
0,1,has_bill_shape::curved_(up_or_down),bill shape curved 
1,2,has_bill_shape::dagger,bill shape dagger
2,3,has_bill_shape::hooked,bill shape hooked
3,4,has_bill_shape::needle,bill shape needle
4,5,has_bill_shape::hooked_seabird,bill shape hooked seabird
5,6,has_bill_shape::spatulate,bill shape broad
6,7,has_bill_shape::all-purpose,bill shape all purpose
7,8,has_bill_shape::cone,bill shape cone
8,9,has_bill_shape::specialized,bill shape specialized
9,10,has_wing_color::blue,wing color blue
10,11,has_wing_color::brown,wing color brown
11,12,has_wing_color::iridescent,wing color iridescent
12,13,has_wing_color::purple,wing color purple
13,14,has_wing_color::rufous,wing color rufous
14,15,has_wing_color::grey,wing color gray
15,16,has_wing_color::yellow,wing color yellow
16,17,has_wing_color::olive,wing color olive
17,18,has_wing_color::green,wing color green
18,19,has_wing_color::pink,wing color pink
19,20,has_wing_color::orange,wing color orange
20,21,has_wing_color::black,wing color black
21,22,has_wing_color::white,wing color white
22,23,has_wing_color::red,wing color red
23,24,has_wing_color::buff,wing color buff
24,25,has_upperparts_color::blue,upper parts color blue
25,26,has_upperparts_color::brown,upper parts color brown
26,27,has_upperparts_color::iridescent,upper parts color iridescent
27,28,has_upperparts_color::purple,upper parts color purple
28,29,has_upperparts_color::rufous,upper parts color rufous
29,30,has_upperparts_color::grey,upper parts color gray
30,31,has_upperparts_color::yellow,upper parts color yellow
31,32,has_upperparts_color::olive,upper parts color olive
32,33,has_upperparts_color::green,upper parts color green
33,34,has_upperparts_color::pink,upper parts color pink
34,35,has_upperparts_color::orange,upper parts color orange
35,36,has_upperparts_color::black,upper parts color black
36,37,has_upperparts_color::white,upper parts color white
37,38,has_upperparts_color::red,upper parts color red
38,39,has_upperparts_color::buff,upper parts color buff
39,40,has_underparts_color::blue,underparts color blue
40,41,has_underparts_color::brown,underparts color brown
41,42,has_underparts_color::iridescent,underparts color iridescent
42,43,has_underparts_color::purple,underparts color purple
43,44,has_underparts_color::rufous,underparts color rufous
44,45,has_underparts_color::grey,underparts color gray
45,46,has_underparts_color::yellow,underparts color yellow
46,47,has_underparts_color::olive,underparts color olive
47,48,has_underparts_color::green,underparts color green
48,49,has_underparts_color::pink,underparts color pink
49,50,has_underparts_color::orange,underparts color orange
50,51,has_underparts_color::black,underparts color black
51,52,has_underparts_color::white,underparts color white
52,53,has_underparts_color::red,underparts color red
53,54,has_underparts_color::buff,underparts color buff
54,55,has_breast_pattern::solid,breast pattern solid
55,56,has_breast_pattern::spotted,breast pattern spotted
56,57,has_breast_pattern::striped,breast pattern striped
57,58,has_breast_pattern::multi-colored,breast pattern multi colored
58,59,has_back_color::blue,back color blue
59,60,has_back_color::brown,back color brown
60,61,has_back_color::iridescent,back color iridescent
61,62,has_back_color::purple,back color purple
62,63,has_back_color::rufous,back color rufous
63,64,has_back_color::grey,back color gray
64,65,has_back_color::yellow,back color yellow
