,new_des
0,sailing boating
1,driving
2,biking
3,transporting things or people
4,sunbathing
5,vacationing touring
6,hiking
7,climbing
8,camping
9,reading
10,studying learning
11,teaching training
12,research
13,diving
14,swimming
15,bathing
16,eating
17,cleaning
18,socializing
19,congregating
20,waiting in line queuing
21,competing
22,sports
23,exercise
24,playing
25,gaming
26,spectating being in an audience
27,farming
28,constructing building
29,shopping
30,medical activity
31,working
32,using tools
33,digging
34,conducting business
35,praying
36,fencing
37,railing
38,wire
39,railroad
40,trees
41,grass
42,vegetation
43,shrubbery
44,foliage
45,leaves
46,flowers
47,asphalt
48,pavement
49,shingles
50,carpet
51,brick
52,tiles
53,concrete
54,metal
55,paper
56,wood (not part of a tree)
57,vinyl linoleum
58,rubber plastic
59,cloth
60,sand
61,rock stone
62,dirt soil
63,marble
64,glass
65,waves surf
66,ocean
67,running water
68,still water
69,ice
70,snow
71,clouds
72,smoke
73,fire
74,natural light
75,direct sun sunny
76,electric indoor lighting
77,aged worn
78,glossy
79,matte
80,sterile
81,moist damp
82,dry
83,dirty
84,rusty
85,warm
86,cold
87,natural
88,man-made
89,open area
90,semi enclosed area
91,enclosed area
92,faraway horizon
93,no horizon
94,rugged scene
95,mostly vertical components
96,mostly horizontal components
97,symmetrical
98,cluttered space
99,scary
100,soothing
101,stressful
